Year,Category,Subcategory Code,Subcategory Name,Document Count,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
2015,Computer Science,cs.AI,Artificial Intelligence,1117,algorithm,learning,information,search,order,time,knowledge,reasoning,methods,belief
2016,Computer Science,cs.AI,Artificial Intelligence,1945,learning,knowledge,system,human,algorithm,algorithms,problems,propose,network,level
2017,Computer Science,cs.AI,Artificial Intelligence,2816,learning,time,human,methods,algorithm,performance,algorithms,decision,knowledge,detection
2018,Computer Science,cs.AI,Artificial Intelligence,4280,learning,deep,neural,tasks,network,methods,human,systems,algorithms,performance
2019,Computer Science,cs.AI,Artificial Intelligence,4758,learning,deep,training,agent,reinforcement,propose,machine,state,neural,performance
2020,Computer Science,cs.AI,Artificial Intelligence,7417,learning,algorithm,system,reinforcement,performance,agent,deep,systems,decision,framework
2021,Computer Science,cs.AI,Artificial Intelligence,12521,learning,deep,tasks,performance,network,methods,neural,state,training,propose
2022,Computer Science,cs.AI,Artificial Intelligence,14806,learning,performance,training,deep,methods,multi,dataset,propose,neural,state
2023,Computer Science,cs.AI,Artificial Intelligence,21850,learning,language,llms,methods,performance,state,framework,propose,human,training
2024,Computer Science,cs.AI,Artificial Intelligence,33030,learning,language,graph,performance,methods,neural,systems,various,time,network
2025,Computer Science,cs.AI,Artificial Intelligence,45119,learning,performance,language,methods,framework,datasets,information,human,dataset,across
2026,Computer Science,cs.AI,Artificial Intelligence,11422,learning,framework,language,training,reasoning,performance,across,llms,propose,methods
2015,Computer Science,cs.CL,Computation & Language,832,language,text,translation,information,word,neural,semantic,systems,state,machine
2016,Computer Science,cs.CL,Computation & Language,1692,word,language,neural,learning,system,sentiment,embeddings,training,text,semantic
2017,Computer Science,cs.CL,Computation & Language,2399,neural,language,text,word,learning,information,system,translation,analysis,machine
2018,Computer Science,cs.CL,Computation & Language,3729,word,neural,learning,language,sentence,information,representations,state,propose,tasks
2019,Computer Science,cs.CL,Computation & Language,5393,language,learning,text,translation,word,speech,information,natural,methods,neural
2020,Computer Science,cs.CL,Computation & Language,7125,language,word,speech,learning,text,training,neural,analysis,human,dataset
2021,Computer Science,cs.CL,Computation & Language,8083,language,learning,text,training,knowledge,tasks,information,classification,domain,performance
2022,Computer Science,cs.CL,Computation & Language,8971,language,learning,performance,knowledge,tasks,text,training,propose,dataset,natural
2023,Computer Science,cs.CL,Computation & Language,13600,language,llms,knowledge,learning,text,tasks,performance,information,human,propose
2024,Computer Science,cs.CL,Computation & Language,20689,language,llms,tasks,performance,languages,learning,information,dataset,methods,text
2025,Computer Science,cs.CL,Computation & Language,23754,language,llms,performance,tasks,knowledge,across,text,information,reasoning,training
