sub_field,name,changepoint,avg_before,avg_after,change_pct,likely_cause
cs.LG,Machine Learning,January 1998,1.0,777.1,77614.2,Google founded / Web boom
cs.LG,Machine Learning,June 1998,1.0,777.1,77614.2,Google founded / Web boom
cs.LG,Machine Learning,September 1999,2.6,802.3,30956.0,Google founded / Web boom
cs.LG,Machine Learning,February 2000,2.5,810.2,32744.0,Dot-com crash
cs.LG,Machine Learning,July 2000,2.2,823.6,36505.6,Dot-com crash
cs.LG,Machine Learning,December 2000,2.7,837.5,30690.8,Dot-com crash
cs.LG,Machine Learning,May 2001,2.6,851.9,32665.9,Dot-com crash
cs.LG,Machine Learning,October 2001,2.6,866.8,33609.6,Dot-com crash
cs.LG,Machine Learning,March 2002,2.5,879.1,34885.7,Dot-com crash
cs.LG,Machine Learning,August 2002,2.5,895.0,35377.8,Dot-com crash
cs.LG,Machine Learning,January 2003,2.9,904.7,30938.8,Dot-com crash
cs.LG,Machine Learning,June 2003,2.8,918.2,32418.7,Dot-com crash
cs.LG,Machine Learning,September 2004,3.0,968.4,32346.0,Unknown
cs.LG,Machine Learning,February 2005,3.0,983.8,32378.2,Unknown
cs.LG,Machine Learning,July 2005,3.3,1003.6,30589.3,Unknown
cs.LG,Machine Learning,December 2005,3.4,1024.3,30208.2,Unknown
cs.LG,Machine Learning,May 2006,3.5,1045.9,29885.8,Financial crisis / Cloud computing
cs.LG,Machine Learning,October 2006,3.7,1068.4,28890.7,Financial crisis / Cloud computing
cs.LG,Machine Learning,March 2007,3.8,1091.9,28732.0,Financial crisis / Cloud computing
cs.LG,Machine Learning,August 2007,3.9,1116.5,28314.5,Financial crisis / Cloud computing
cs.LG,Machine Learning,January 2008,4.2,1142.1,27268.9,Financial crisis / Cloud computing
cs.LG,Machine Learning,June 2008,4.3,1169.0,26782.1,Financial crisis / Cloud computing
cs.LG,Machine Learning,November 2008,4.7,1197.1,25455.7,Financial crisis / Cloud computing
cs.LG,Machine Learning,April 2009,5.2,1226.5,23709.1,Financial crisis / Cloud computing
cs.LG,Machine Learning,September 2009,5.6,1257.3,22268.5,Financial crisis / Cloud computing
