field,sub_field,year,month,paper_count
cs,cs.AI,1993,8,2
cs,cs.AI,1993,9,1
cs,cs.AI,1993,11,2
cs,cs.AI,1993,12,1
cs,cs.AI,1994,1,1
cs,cs.AI,1994,2,3
cs,cs.AI,1994,3,1
cs,cs.AI,1994,6,2
cs,cs.AI,1994,8,3
cs,cs.AI,1994,9,1
cs,cs.AI,1994,12,3
cs,cs.AI,1995,1,3
cs,cs.AI,1995,3,2
cs,cs.AI,1995,4,1
cs,cs.AI,1995,5,5
cs,cs.AI,1995,6,2
cs,cs.AI,1995,7,1
cs,cs.AI,1995,8,2
cs,cs.AI,1995,10,3
cs,cs.AI,1995,11,1
cs,cs.AI,1995,12,7
cs,cs.AI,1996,1,1
cs,cs.AI,1996,2,2
cs,cs.AI,1996,3,4
cs,cs.AI,1996,4,3
cs,cs.AI,1996,5,6
cs,cs.AI,1996,6,2
cs,cs.AI,1996,8,2
cs,cs.AI,1996,9,2
cs,cs.AI,1996,10,2
cs,cs.AI,1996,11,1
cs,cs.AI,1996,12,3
cs,cs.AI,1997,1,2
cs,cs.AI,1997,3,2
cs,cs.AI,1997,4,1
cs,cs.AI,1997,5,2
cs,cs.AI,1997,6,2
cs,cs.AI,1997,7,3
cs,cs.AI,1997,9,2
cs,cs.AI,1997,10,1
cs,cs.AI,1997,11,3
cs,cs.AI,1997,12,2
cs,cs.AI,1998,1,2
cs,cs.AI,1998,3,3
cs,cs.AI,1998,5,1
cs,cs.AI,1998,6,2
cs,cs.AI,1998,8,5
cs,cs.AI,1998,9,6
cs,cs.AI,1998,10,5
cs,cs.AI,1998,11,2
cs,cs.AI,1998,12,4
cs,cs.AI,1999,1,6
cs,cs.AI,1999,2,2
cs,cs.AI,1999,3,3
cs,cs.AI,1999,4,1
cs,cs.AI,1999,5,1
cs,cs.AI,1999,6,6
cs,cs.AI,1999,7,2
cs,cs.AI,1999,8,3
cs,cs.AI,1999,9,5
cs,cs.AI,1999,10,2
cs,cs.AI,1999,11,1
cs,cs.AI,1999,12,1
cs,cs.AI,2000,1,2
cs,cs.AI,2000,2,7
