sub_field,name,changepoint,avg_before,avg_after,change_pct,likely_cause,field,date
math.CO,Combinatorics,December 2003,18.4,270.9,1375.2,Unknown,math,2003-12-01
math.PR,Probability,May 2004,15.4,238.5,1452.5,Unknown,math,2004-05-01
physics.data-an,Data Analysis and Statistics,September 2005,7.3,44.1,507.7,Unknown,physics,2005-09-01
math.ST,Statistics Theory,February 2006,8.7,109.0,1159.7,Financial crisis - mathematical modelling in demand,math,2006-02-01
math.CO,Combinatorics,May 2009,45.2,332.3,635.7,Financial crisis - mathematical modelling in demand,math,2009-05-01
cs.CR,Cryptography & Security,July 2009,7.3,223.2,2967.7,Financial crisis / Cloud computing,cs,2009-07-01
physics.comp-ph,Computational Physics,August 2009,15.5,125.8,713.1,Large Hadron Collider operations begin,physics,2009-08-01
math.PR,Probability,October 2009,51.3,283.3,452.7,Financial crisis - mathematical modelling in demand,math,2009-10-01
math.NA,Numerical Analysis,December 2009,12.8,233.8,1734.1,Financial crisis - mathematical modelling in demand,math,2009-12-01
stat.AP,Applications,July 2010,15.5,115.6,647.4,Big Data era begins,stat,2010-07-01
physics.data-an,Data Analysis and Statistics,September 2010,14.5,49.4,241.3,Large Hadron Collider operations begin,physics,2010-09-01
cs.SI,Social & Information Networks,September 2010,2.2,123.1,5516.8,Financial crisis / Cloud computing,cs,2010-09-01
cs.AI,Artificial Intelligence,February 2011,12.5,862.1,6795.7,AlexNet - Deep learning revolution,cs,2011-02-01
math.OC,Optimisation and Control,April 2011,18.1,314.5,1640.9,Compressed sensing and sparse methods boom,math,2011-04-01
cs.CV,Computer Vision,November 2011,8.6,519.2,5968.2,AlexNet - Deep learning revolution,cs,2011-11-01
stat.ME,Methodology,November 2011,24.6,187.9,663.7,Big Data era begins,stat,2011-11-01
math.ST,Statistics Theory,December 2011,32.1,131.7,310.0,Compressed sensing and sparse methods boom,math,2011-12-01
math.CO,Combinatorics,September 2012,69.8,372.8,433.8,Deep learning - maths of optimisation needed,math,2012-09-01
eess.SY,Systems and Control,April 2013,23.1,269.6,1068.6,Deep learning revolution - image processing,eess,2013-04-01
math.PR,Probability,July 2013,82.5,310.0,275.7,Deep learning - maths of optimisation needed,math,2013-07-01
math.NA,Numerical Analysis,September 2013,29.0,279.0,861.5,Deep learning - maths of optimisation needed,math,2013-09-01
cs.NE,Neural & Evolutionary Computing,November 2013,8.8,106.6,1113.3,AlexNet - Deep learning revolution,cs,2013-11-01
cs.SI,Social & Information Networks,June 2014,45.4,140.4,209.5,GANs invented / Deep RL,cs,2014-06-01
stat.ML,Machine Learning,September 2014,43.8,520.7,1089.3,Data science becomes mainstream career,stat,2014-09-01
cs.CV,Computer Vision,October 2014,21.6,709.5,3179.4,GANs invented / Deep RL,cs,2014-10-01
math.OC,Optimisation and Control,June 2015,44.4,388.9,775.7,ML needs probability and statistical theory,math,2015-06-01
cs.LG,Machine Learning,July 2015,37.2,1904.1,5019.9,GANs invented / Deep RL,cs,2015-07-01
stat.ME,Methodology,August 2015,45.2,228.5,405.4,Data science becomes mainstream career,stat,2015-08-01
cs.CL,Computation & Language (NLP),May 2016,16.4,819.3,4910.2,Transformer paper published,cs,2016-05-01
stat.AP,Applications,October 2016,40.2,156.1,288.4,Reproducibility crisis in statistics,stat,2016-10-01
cs.RO,Robotics,October 2016,13.7,414.7,2936.7,Transformer paper published,cs,2016-10-01
cs.CV,Computer Vision,November 2016,48.7,920.3,1791.3,Transformer paper published,cs,2016-11-01
physics.app-ph,Applied Physics,March 2017,1.2,212.0,17841.7,Gravitational waves confirmed - Nobel Prize,physics,2017-03-01
cs.AI,Artificial Intelligence,May 2017,40.3,1402.6,3377.2,Transformer paper published,cs,2017-05-01
cs.CR,Cryptography & Security,June 2017,30.3,369.8,1118.6,Transformer paper published,cs,2017-06-01
